practitioner_role_id,practitioner_id,practitioner_reference,npi,is_npi_invalid,family_name,given_name
practitioner-role-1003137407-183974,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183975,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183976,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183977,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183978,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183979,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183980,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183981,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183982,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183983,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183984,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183985,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183986,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183987,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183988,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183989,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183990,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183991,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183992,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183993,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183994,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183995,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183996,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183997,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
practitioner-role-1003137407-183998,practitioner-1003137407,Practitioner/practitioner-1003137407,0,?,Henderson,Kamal Hanee
