practitioner_role_id,telecom_system,telecom_value,telecom_use
practitioner-role-1003137407-183974,phone,3364811730,work
practitioner-role-1003137407-183974,fax,3364811739,work
practitioner-role-1003137407-183975,phone,3369967076,work
practitioner-role-1003137407-183975,fax,3369967832,work
practitioner-role-1003137407-183976,phone,3364811730,work
practitioner-role-1003137407-183976,fax,3364811739,work
practitioner-role-1003137407-183977,phone,3362772000,work
practitioner-role-1003137407-183977,fax,3362772050,work
practitioner-role-1003137407-183978,phone,3364811730,work
practitioner-role-1003137407-183978,fax,3364811739,work
practitioner-role-1003137407-183979,phone,3366605220,work
practitioner-role-1003137407-183979,fax,3366605229,work
practitioner-role-1003137407-183980,phone,3364721191,work
practitioner-role-1003137407-183980,fax,3364721208,work
practitioner-role-1003137407-183981,phone,3365263005,work
practitioner-role-1003137407-183981,fax,3365263011,work
practitioner-role-1003137407-183982,phone,3369967076,work
practitioner-role-1003137407-183982,fax,3369967832,work
practitioner-role-1003137407-183983,phone,3364811730,work
practitioner-role-1003137407-183983,fax,3364811739,work
practitioner-role-1003137407-183984,phone,3367186199,work
practitioner-role-1003137407-183984,fax,3367186190,work
practitioner-role-1003137407-183985,phone,3369967076,work
practitioner-role-1003137407-183985,fax,3369967832,work
practitioner-role-1003137407-183986,phone,3362772620,work
practitioner-role-1003137407-183986,fax,3362772629,work
practitioner-role-1003137407-183987,phone,3364811730,work
practitioner-role-1003137407-183987,fax,3364811739,work
practitioner-role-1003137407-183988,phone,3362772000,work
practitioner-role-1003137407-183988,fax,3362772050,work
practitioner-role-1003137407-183989,phone,3367197892,work
practitioner-role-1003137407-183989,fax,3367197898,work
practitioner-role-1003137407-183990,phone,3366605220,work
practitioner-role-1003137407-183990,fax,3366605229,work
practitioner-role-1003137407-183991,phone,3364811730,work
practitioner-role-1003137407-183991,fax,3364811739,work
practitioner-role-1003137407-183992,phone,3362772620,work
practitioner-role-1003137407-183992,fax,3362772629,work
practitioner-role-1003137407-183993,phone,3364811730,work
practitioner-role-1003137407-183993,fax,3364811739,work
practitioner-role-1003137407-183994,phone,3364811730,work
practitioner-role-1003137407-183994,fax,3364811739,work
practitioner-role-1003137407-183995,phone,3362772000,work
practitioner-role-1003137407-183995,fax,3362772050,work
practitioner-role-1003137407-183996,phone,3366605220,work
