practitioner_role_id,location_id,location_reference
dacaa96c-71d6-479a-9483-72889ea591e7,f1cc0b90-94ab-4e7a-b4f9-4dd87270f719,Location/f1cc0b90-94ab-4e7a-b4f9-4dd87270f719
397a98e6-21fa-428b-a04b-4e21fc552fff,43710f16-c168-42c1-a437-8ee66336cd6e,Location/43710f16-c168-42c1-a437-8ee66336cd6e
56a1ce17-03cc-4a0d-b0aa-685439012a13,bb586b3f-534c-4802-ad17-c88dbc6f81a8,Location/bb586b3f-534c-4802-ad17-c88dbc6f81a8
9dfa2582-0e52-4fa4-9773-4ff0126272b0,315f3ce3-bc8a-4b1a-8b2e-a19369f10aa6,Location/315f3ce3-bc8a-4b1a-8b2e-a19369f10aa6
9dfa2582-0e52-4fa4-9773-4ff0126272b0,47a81d85-4738-4bac-a2fa-0e7d64560955,Location/47a81d85-4738-4bac-a2fa-0e7d64560955
96c71afa-13a3-4619-9e5f-c3a08133758f,1036cf1c-a721-4b5b-85c7-9c48452ca47d,Location/1036cf1c-a721-4b5b-85c7-9c48452ca47d
96c71afa-13a3-4619-9e5f-c3a08133758f,161865f9-7726-4665-8117-9c298afb383d,Location/161865f9-7726-4665-8117-9c298afb383d
9b63e857-50e2-4aa4-83aa-caa11594b6c8,4deccc57-461b-4748-9560-f35336e91e7c,Location/4deccc57-461b-4748-9560-f35336e91e7c
9b63e857-50e2-4aa4-83aa-caa11594b6c8,d7a367cb-8fa8-4968-bfee-c49a98505c80,Location/d7a367cb-8fa8-4968-bfee-c49a98505c80
e31b401f-4eaf-47b6-b53a-0851062caa3a,6d3c1ea1-0f1a-43f6-a2e9-5c422b993d98,Location/6d3c1ea1-0f1a-43f6-a2e9-5c422b993d98
e31b401f-4eaf-47b6-b53a-0851062caa3a,62f2f027-c594-4c1f-859f-da1259d82422,Location/62f2f027-c594-4c1f-859f-da1259d82422
b320ac1e-e7c8-45ef-9ee5-495a697d6e7f,e45cb802-4ac5-401a-88d2-481f99af7e7d,Location/e45cb802-4ac5-401a-88d2-481f99af7e7d
b320ac1e-e7c8-45ef-9ee5-495a697d6e7f,fc90eb82-d603-46c5-98df-595d27af5697,Location/fc90eb82-d603-46c5-98df-595d27af5697
b320ac1e-e7c8-45ef-9ee5-495a697d6e7f,0576eb7a-e400-40a2-bc12-71234c975ba3,Location/0576eb7a-e400-40a2-bc12-71234c975ba3
b320ac1e-e7c8-45ef-9ee5-495a697d6e7f,035dcfca-073e-43a5-b161-59ddd85134ad,Location/035dcfca-073e-43a5-b161-59ddd85134ad
61a549e5-d743-4559-a935-0ae2c20de911,b4713432-82c0-4ac6-99f9-ad7ca892be45,Location/b4713432-82c0-4ac6-99f9-ad7ca892be45
003a96a0-c97b-4df9-91d9-274bf6b83a87,5a9926b8-6b58-4c61-9d7f-9b29ee4333b0,Location/5a9926b8-6b58-4c61-9d7f-9b29ee4333b0
003a96a0-c97b-4df9-91d9-274bf6b83a87,847b155b-fdee-46dc-b775-baadadc8b739,Location/847b155b-fdee-46dc-b775-baadadc8b739
003a96a0-c97b-4df9-91d9-274bf6b83a87,452a6fe3-f0d2-4568-b01c-203367080201,Location/452a6fe3-f0d2-4568-b01c-203367080201
003a96a0-c97b-4df9-91d9-274bf6b83a87,1ecdc649-50d1-48f5-93b4-46b51d0b8d0d,Location/1ecdc649-50d1-48f5-93b4-46b51d0b8d0d
003a96a0-c97b-4df9-91d9-274bf6b83a87,f73221ab-7879-411e-b3c0-2d7fb408d7b1,Location/f73221ab-7879-411e-b3c0-2d7fb408d7b1
003a96a0-c97b-4df9-91d9-274bf6b83a87,dba510dd-7147-4fec-b1b3-9b603b8f6503,Location/dba510dd-7147-4fec-b1b3-9b603b8f6503
003a96a0-c97b-4df9-91d9-274bf6b83a87,fcf42aae-f8b3-421b-85cf-8769c561cc49,Location/fcf42aae-f8b3-421b-85cf-8769c561cc49
422e706b-c128-4636-989c-06af40b45925,967e33a2-5e72-4301-8343-c419fa3554c5,Location/967e33a2-5e72-4301-8343-c419fa3554c5
422e706b-c128-4636-989c-06af40b45925,2dc86d87-0366-4291-86df-62077a759cb6,Location/2dc86d87-0366-4291-86df-62077a759cb6
422e706b-c128-4636-989c-06af40b45925,818d2e17-796d-4c2b-91d5-2bbb7d0da0a6,Location/818d2e17-796d-4c2b-91d5-2bbb7d0da0a6
422e706b-c128-4636-989c-06af40b45925,037aa466-7be1-483a-bf41-28e622b6a769,Location/037aa466-7be1-483a-bf41-28e622b6a769
422e706b-c128-4636-989c-06af40b45925,efe9ef98-e74a-46f9-8435-e1e378169318,Location/efe9ef98-e74a-46f9-8435-e1e378169318
