practitioner_role_id,practitioner_id,practitioner_reference,npi,is_npi_invalid,family_name,given_name
dacaa96c-71d6-479a-9483-72889ea591e7,8f9cf86f-af79-4e24-bde4-9b4bb174437c,Practitioner/8f9cf86f-af79-4e24-bde4-9b4bb174437c,1679669360,?,KELLY,WAYNE KELLY
397a98e6-21fa-428b-a04b-4e21fc552fff,5b7769b5-af64-433d-8ee1-960b667599e2,Practitioner/5b7769b5-af64-433d-8ee1-960b667599e2,1265545123,?,MOFFAT,JAMES MOFFAT
56a1ce17-03cc-4a0d-b0aa-685439012a13,ba7c04b5-d284-4548-b29d-83b67e91844c,Practitioner/ba7c04b5-d284-4548-b29d-83b67e91844c,1205994050,?,TRUONG,JACQUELINE TRUONG
9dfa2582-0e52-4fa4-9773-4ff0126272b0,fdaeaec9-3e7d-4a32-a279-185e00673797,Practitioner/fdaeaec9-3e7d-4a32-a279-185e00673797,1508089897,?,RONAY,MARIANNE RONAY
96c71afa-13a3-4619-9e5f-c3a08133758f,f37f48e7-44a3-42ce-a341-b72ebd15a80f,Practitioner/f37f48e7-44a3-42ce-a341-b72ebd15a80f,1861662702,?,GMOSER,MARK GMOSER
9b63e857-50e2-4aa4-83aa-caa11594b6c8,8005e3c5-fb27-43b1-a0c7-5179bdae1671,Practitioner/8005e3c5-fb27-43b1-a0c7-5179bdae1671,1336155258,?,DONG,DAVID DONG
e31b401f-4eaf-47b6-b53a-0851062caa3a,937c74c6-8c0b-4cd3-8849-a54d6b6e0c77,Practitioner/937c74c6-8c0b-4cd3-8849-a54d6b6e0c77,1366443053,?,SHERMAN,JON SHERMAN
b320ac1e-e7c8-45ef-9ee5-495a697d6e7f,a9c41379-e472-4f23-86b3-2f73ce5f8e28,Practitioner/a9c41379-e472-4f23-86b3-2f73ce5f8e28,1568629889,?,KIM,TAE KIM
61a549e5-d743-4559-a935-0ae2c20de911,fa8850d1-c6b5-4b15-a6b7-cafca1f428b8,Practitioner/fa8850d1-c6b5-4b15-a6b7-cafca1f428b8,1144680653,?,COUNCIL,DORIS COUNCIL
003a96a0-c97b-4df9-91d9-274bf6b83a87,ed339230-ce58-48fe-a79d-8f4879158f84,Practitioner/ed339230-ce58-48fe-a79d-8f4879158f84,1841316874,?,REZA,ALLISON REZA
422e706b-c128-4636-989c-06af40b45925,71c0440f-baf2-4cfd-b6d0-78464137e21f,Practitioner/71c0440f-baf2-4cfd-b6d0-78464137e21f,1164473187,?,PAGE,SAUNDRIA PAGE
f2799a49-e2b4-4859-9299-6debaa62f094,4d4214e1-5d12-4e93-be58-f56166c03c6f,Practitioner/4d4214e1-5d12-4e93-be58-f56166c03c6f,1730500620,?,GLASSER,WILLIAM GLASSER
5b2f60ce-2abe-4f78-ba32-fc53938d1937,251c7094-988e-431c-aa0a-7345773afb6f,Practitioner/251c7094-988e-431c-aa0a-7345773afb6f,1841227493,?,THOMPSON,CHARLES THOMPSON
6dbca648-936a-4cdc-8f83-a16b69fc19eb,d95c6a27-14be-43bf-93c9-40706f2c4424,Practitioner/d95c6a27-14be-43bf-93c9-40706f2c4424,1801425145,?,GONZALEZ,ALPHA GONZALEZ
