practitioner_role_id,telecom_system,telecom_value,telecom_use
dacaa96c-71d6-479a-9483-72889ea591e7,fax,9516528420,work
dacaa96c-71d6-479a-9483-72889ea591e7,phone,9519292753,work
397a98e6-21fa-428b-a04b-4e21fc552fff,fax,7608638366,work
397a98e6-21fa-428b-a04b-4e21fc552fff,phone,8007209553,work
56a1ce17-03cc-4a0d-b0aa-685439012a13,fax,9094639655,work
56a1ce17-03cc-4a0d-b0aa-685439012a13,phone,9094634655,work
9dfa2582-0e52-4fa4-9773-4ff0126272b0,fax,9098831686,work
9dfa2582-0e52-4fa4-9773-4ff0126272b0,phone,8554228029,work
96c71afa-13a3-4619-9e5f-c3a08133758f,fax,3108599127,work
96c71afa-13a3-4619-9e5f-c3a08133758f,fax,8182797512,work
96c71afa-13a3-4619-9e5f-c3a08133758f,phone,3107391167,work
96c71afa-13a3-4619-9e5f-c3a08133758f,phone,8188210095,work
9b63e857-50e2-4aa4-83aa-caa11594b6c8,fax,9512436976,work
9b63e857-50e2-4aa4-83aa-caa11594b6c8,phone,9512433868,work
9b63e857-50e2-4aa4-83aa-caa11594b6c8,phone,9517697191,work
e31b401f-4eaf-47b6-b53a-0851062caa3a,fax,7603223276,work
e31b401f-4eaf-47b6-b53a-0851062caa3a,fax,7603604436,work
e31b401f-4eaf-47b6-b53a-0851062caa3a,phone,7603251203,work
e31b401f-4eaf-47b6-b53a-0851062caa3a,phone,7603604446,work
b320ac1e-e7c8-45ef-9ee5-495a697d6e7f,fax,7603273846,work
b320ac1e-e7c8-45ef-9ee5-495a697d6e7f,fax,7603275140,work
b320ac1e-e7c8-45ef-9ee5-495a697d6e7f,fax,7604167639,work
b320ac1e-e7c8-45ef-9ee5-495a697d6e7f,fax,7605371669,work
b320ac1e-e7c8-45ef-9ee5-495a697d6e7f,phone,7603184730,work
b320ac1e-e7c8-45ef-9ee5-495a697d6e7f,phone,7605617373,work
b320ac1e-e7c8-45ef-9ee5-495a697d6e7f,phone,7609927171,work
61a549e5-d743-4559-a935-0ae2c20de911,fax,9094699014,work
61a549e5-d743-4559-a935-0ae2c20de911,phone,9094699013,work
003a96a0-c97b-4df9-91d9-274bf6b83a87,fax,4423279315,work
003a96a0-c97b-4df9-91d9-274bf6b83a87,fax,9099442544,work
003a96a0-c97b-4df9-91d9-274bf6b83a87,fax,9099870993,work
003a96a0-c97b-4df9-91d9-274bf6b83a87,phone,4423279311,work
003a96a0-c97b-4df9-91d9-274bf6b83a87,phone,9093628002,work
003a96a0-c97b-4df9-91d9-274bf6b83a87,phone,9095605915,work
422e706b-c128-4636-989c-06af40b45925,fax,8586334697,work
422e706b-c128-4636-989c-06af40b45925,fax,9093554261,work
422e706b-c128-4636-989c-06af40b45925,fax,9093812933,work
422e706b-c128-4636-989c-06af40b45925,fax,9093861882,work
422e706b-c128-4636-989c-06af40b45925,fax,9098817330,work
422e706b-c128-4636-989c-06af40b45925,phone,9093564459,work
422e706b-c128-4636-989c-06af40b45925,phone,9093818983,work
422e706b-c128-4636-989c-06af40b45925,phone,9093861880,work
422e706b-c128-4636-989c-06af40b45925,phone,9098817320,work
422e706b-c128-4636-989c-06af40b45925,phone,9512256400,work
f2799a49-e2b4-4859-9299-6debaa62f094,fax,9092815858,work
f2799a49-e2b4-4859-9299-6debaa62f094,fax,9095903898,work
f2799a49-e2b4-4859-9299-6debaa62f094,fax,9099029199,work
f2799a49-e2b4-4859-9299-6debaa62f094,fax,9099468243,work
f2799a49-e2b4-4859-9299-6debaa62f094,fax,9099893932,work
f2799a49-e2b4-4859-9299-6debaa62f094,fax,9512133449,work
f2799a49-e2b4-4859-9299-6debaa62f094,phone,9092815800,work
f2799a49-e2b4-4859-9299-6debaa62f094,phone,9094649675,work
f2799a49-e2b4-4859-9299-6debaa62f094,phone,9099029111,work
f2799a49-e2b4-4859-9299-6debaa62f094,phone,9099464222,work
f2799a49-e2b4-4859-9299-6debaa62f094,phone,9099803567,work
f2799a49-e2b4-4859-9299-6debaa62f094,phone,9512133450,work
5b2f60ce-2abe-4f78-ba32-fc53938d1937,fax,9093365751,work
5b2f60ce-2abe-4f78-ba32-fc53938d1937,phone,9093369715,work
6dbca648-936a-4cdc-8f83-a16b69fc19eb,fax,9093827115,work
6dbca648-936a-4cdc-8f83-a16b69fc19eb,phone,9093827100,work
097a60b8-eafe-4d7c-bb54-b4a2cd657975,fax,7605309977,work
097a60b8-eafe-4d7c-bb54-b4a2cd657975,fax,9093014042,work
097a60b8-eafe-4d7c-bb54-b4a2cd657975,phone,7604444258,work
097a60b8-eafe-4d7c-bb54-b4a2cd657975,phone,9093014041,work
5abeea6b-c6ee-42d1-97e8-8769c961d16e,fax,7602433255,work
5abeea6b-c6ee-42d1-97e8-8769c961d16e,fax,7608435933,work
5abeea6b-c6ee-42d1-97e8-8769c961d16e,phone,7602434009,work
5abeea6b-c6ee-42d1-97e8-8769c961d16e,phone,7602455866,work
7b38bdd7-3980-4205-8645-1af81ebcaa43,fax,9518458625,work
7b38bdd7-3980-4205-8645-1af81ebcaa43,phone,9518454749,work
65586bc3-9b04-417d-b9da-9217a208c770,fax,9095801300,work
65586bc3-9b04-417d-b9da-9217a208c770,phone,9095801775,work
66e75c1f-8052-4058-a9eb-74dcf327f8be,fax,9099200765,work
66e75c1f-8052-4058-a9eb-74dcf327f8be,phone,9099462277,work
f1b09759-592a-4668-a34e-f6e29aabe76a,fax,9094692120,work
f1b09759-592a-4668-a34e-f6e29aabe76a,phone,9094699494,work
099d72ab-8d14-402b-b41d-b8a4335ec43a,fax,9098835399,work
099d72ab-8d14-402b-b41d-b8a4335ec43a,phone,9098835315,work
fbd71342-2077-4f7e-a36e-a0f723d7075c,fax,9517843257,work
fbd71342-2077-4f7e-a36e-a0f723d7075c,phone,9517823683,work
