"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"1818 WESTERN, LLC","Heritage PACE","H9411","National PACE","National PACE","01/01/2025","For Profit","1818 WESTERN LLC","San Francisco","15","1818 S. Western Avenue Suite 100","","Los Angeles","CA","90006","CEO","Ko","David","","1-888-804-1118","","","ahhc.ceo@gmail.com","1818 S. Western Ave","Suite 100","Los Angeles","CA","90006","09/30/2024"
"A&D CHARITABLE FOUNDATION, INC.","Great Lakes PACE","H9185","National PACE","National PACE","05/01/2015","Not-for-Profit/Non-Profit","A&D Charitable Foundation, Inc.","Atlanta","191","3378 Fashion Square Blvd","","Saginaw","MI","48603","Program Director","Benjamin","David","","1-989-272-7610","","","dbenjamin@greatlakespace.org","3378 Fashion Square Blvd","","Saginaw","MI","48603","03/14/2017"
"ABSOLUTE TOTAL CARE, INC.","Wellcare Prime by Absolute Total Care","H1723","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2015","For Profit","Centene Corporation","Chicago","2,269","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","05/12/2025"
"ACUTECARE PACE FRANKLIN, LLC","BoldAge PACE","H8421","National PACE","National PACE","05/01/2025","For Profit","Beacon Care Ventures, LLC d/b/a BoldAge PACE","New York","","1700 East Dublin Granville Road","","Columbus","OH","43229","Director of Business Deve","Hull","Leigh","","1-732-806-3224","","1-732-806-3324","lhull@boldagepace.com","106 Moore Ave Suite A","","Mooresville","NC","28115","10/08/2024"
"AETNA BETTER HEALTH INC. (GA)","Aetna Medicare","H3146","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Atlanta","61,938","2000 Riveredge Parkway","Suite 200","Atlanta","GA","30328","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/07/2018"
"AETNA BETTER HEALTH INC. (NJ)","Aetna Better Health of New Jersey","H6399","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","CVS Health Corporation","Atlanta","5,836","3 Independence Way, Suite 104","","Princeton","NJ","08540","Director of Provider Expe","Koblens","Matt","","1-844-362-0934","","","koblensm@aetna.com","7400 West Campus Road","","New Albany","OH","43054","10/13/2023"
"AETNA BETTER HEALTH INC. (OH)","Aetna Better Health of Ohio, MyCare Ohio","H7172","Demo","Medicare-Medicaid Plan HMO/HMOPOS","05/01/2014","For Profit","CVS Health Corporation","Dallas","11,949","7400 W Campus Rd","","New Albany","OH","43054","Director of Provider Expe","Koblens","Matt","","1-855-364-0974","","","koblensm@aetna.com","7400 West Campus Road","","New Albany","OH","43054","05/28/2025"
"AETNA BETTER HEALTH OF CALIFORNIA INC.","Aetna Medicare","H4982","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Atlanta","19,547","9350 Waxie Way, Suite 210","","San Diego","CA","92123","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/11/2018"
"AETNA BETTER HEALTH OF KANSAS INC.","Aetna Medicare","H8332","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","CVS Health Corporation","Atlanta","299","9401 Indian Creek Pkwy","","Overland Park","KS","66210","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/13/2020"
"AETNA BETTER HEALTH OF MICHIGAN INC.","Aetna Better Health Premier Plan","H8026","Demo","Medicare-Medicaid Plan HMO/HMOPOS","03/01/2015","For Profit","CVS Health Corporation","Dallas","8,373","2 Towne Square","Suite #275","Southfield","MI","48076","Director of Provider Expe","Koblens","Matt","","1-855-676-5771","","","koblensm@aetna.com","7400 West Campus Road","","New Albany","OH","43054","05/28/2025"
